adt_2025_drop_all_minus1.csv 변수 설명
형식: 원래 변수명: 변수의 의미
총 컬럼 수: 455

YEAR: 조사연도
HLPDMONF: 지난1년간온·오프라인정치참여경험4:데모나정치시위를조직하거나조직하는데참여하기
JOINDONF: 지난1년간온·오프라인정치참여경험5:사회적이슈에관여하는단체에속하거나가입하기
TRUST10S: 사람들에대한신뢰(10점척도)
TRUSTCRT: 법원신뢰도
WHRESPPI: 개인정보보호책임주체에대한인식
SURVEINT25: 감시권한2:인터넷정보감시(2025)
GIVEPIFR: 개인정보제공에대한태도1:할인이나무료상품을받기위해제공할것
GIVEPIPC: 개인정보제공에대한태도2:민간기업이나의개인정보를사용하여이익을내더라도제공할것
TECHEASY: 기술가치에대한인식1:기술은우리삶을수월하게만든다
TECHHARM: 기술가치에대한인식2:전반적으로기술은이익보다해를더많이끼친다 (변수는 점수가 낮을수록 기술이 해롭다는 인식이 강하고, 점수가 높을수록 기술이 해롭다는 주장에 반대하는 것, 즉 기술에 대해 상대적으로 긍정적인 태도라고 해석해야 합니다. 즉, 역코딩 해야함. )

TECHOPPO: 기술가치에대한인식3:기술은다음세대에게더많은기회를제공한다
BNEFTSEX: 디지털기술혜택의남녀간격차에대한인식
BNEFTAGE: 디지털기술혜택의세대간격차에대한인식
BNEFTURB: 디지털기술혜택의도농간격차에대한인식
BNEFTEDU: 디지털기술혜택의학력집단간격차에대한인식
BNEFTINC: 디지털기술혜택의빈부간격차에대한인식
WRYMCHAI: 기계·컴퓨터·인공지능의인간일자리대체에대한우려
ROBOTOPR: 로봇이나인공지능에대한태도1:내수술을로봇이담당하는것
DRVLSCAR: 로봇이나인공지능에대한태도2:자율주행차를타는것
AIINFPSN: 로봇이나인공지능에대한태도3:인공지능이제공한정보인지사람이제공한정보인지구별할수없는것
AICOMPSN: 로봇이나인공지능에대한태도4:실제사람대신인공지능과대화하는것
AICHKPSN: 로봇이나인공지능에대한태도5:인공지능이생성한정보가정확한지확인할수없는것
SEXROLE123: 성역할에대한인식1:아내는남편이경력을쌓을수있도록내조
PATRACH123: 가부장제가치에대한인식1:아버지의권위는어떤경우에도존중
PATRACH223: 가부장제가치에대한인식2:자식은부모에게명예가될수있는일을하려고노력
PATRACH523: 가부장제가치에대한인식5:가계계승을위해아들필요
PATRACH723: 가부장제가치에대한인식7:자기자신보다가족의안녕과이해가우선
LIFESAT: 생활만족도
SPOSHLTH23: 배우자건강:(배우자가있다면)전반적으로,배우자의건강상태는어떻습니까?
HUMNAT: 인간의본성의선악에대한의견
LONE4WKS: 지난한달간감정경험1:교제부족
ISOL4WKS: 지난한달간감정경험2:고립감
LEFT4WKS: 지난한달간감정경험3:소외감
CESD1: 지난한주간감정경험1:우울감
CESD2: 지난한주간감정경험2:허무감
CESD3: 지난한주간감정경험3:불면증
CESD4: 지난한주간감정경험4:행복감
CESD5: 지난한주간감정경험5:외로움
CESD6: 지난한주간감정경험6:즐거움
CESD7: 지난한주간감정경험7:슬픔
CESD8: 지난한주간감정경험8:무력감
WOMENMEN: 성정체성
TAKERISK: 성격특성11:나는위험을감수하는것을즐긴다
BELEADER: 성격특성12:나는지도자역할을맡는것을좋아한다
OTHNEEDS: 성격특성13:나는다른사람들의필요에주의를기울인다
COMPSOTH: 성격특성14:나는다른사람들을배려하며행동한다
MASCULIN: 남성이자신을남성적이라고느끼는정도
IMPBEMEN: 남성이자신을인식하는데성이중요한정도
UNFTRTMN: 남성이라는이유로병원에서부당하게대우받은경험
UNFWRKMN: 남성이라는이유로취업이나직장에서부당하게대우받은경험
UNFPLCMN: 남성이라는이유로경찰에게부당하게대우받은경험
FEMININE: 여성이자신을여성적이라고느끼는정도
IMPBEWOM: 여성이자신을인식하는데성이중요한정도
UNFTRTWN: 여성이라는이유로병원에서부당하게대우받은경험
UNFWRKWN: 여성이라는이유로취업이나직장에서부당하게대우받은경험
UNFPLCWN: 여성이라는이유로경찰에게부당하게대우받은경험
EQLTRTMW: 남녀대우공정성에대한인식1:의료서비스를받을때
EQLWRKMW: 남녀대우공정성에대한인식2:취업이나임금,직장에서의승진
PLCTRTMW: 남녀대우공정성에대한인식3:경찰
EQWRKFAM: 고용에서남녀균형이가정에미칠영향
EQLDRPOL: 정치지도자에서남녀균형이정치에미칠영향
EQNUMBUS: 기업임원에서남녀균형이기업에미칠영향
EQPAYECO: 임금에서남녀평등이경제발전에미칠영향
CONGSEAT: 성평등제도에대한찬반1:여성과남성에게국회의석을동등하게배분하는법적조치
LEAVECHD: 성평등제도에대한찬반2:부부가동일한기간의유급육아휴직을사용하도록하는법적조치
INSULTFR: 성평등제도에대한찬반3:직장에서여성에게모욕적인발언을한직원해고
FINEPAYM: 성평등제도에대한찬반4:동일한업무에서남성에게더많은임금을지급하는기업에벌금부과
MANIPOWR: 상황별발생빈도1:여성이남성을조종하여권력을얻는경우
GETOFFND: 상황별발생빈도2:여성이손쉽게불쾌감을느끼는경우
